"name","ring","quadrant","isNew","status","description"
"Astro","Hold","Languages & Frameworks","True","New","<p><strong><a href='https://astro.build/'>Astro</a></strong> Framework agnostic metaframework for building frontend applications</p>"
"Next","Hold","Languages & Frameworks","True","New","<p><strong><a href='https://nextjs.org/'>Next</a></strong> React based metaframework for building frontend applications</p>"
"DW Swift 2","Trial","Languages & Frameworks","False","Moved In","<p><strong><a href='https://doc.dynamicweb.dev/swift/getting-started/index.html'>DW Swift 2</a></strong> Swift 2 is Dynamic Webs Configurable frontend for DW based solutions</p>"
"Norce","Hold","Platforms","True","New","<p><strong><a href='https://www.norce.io/'>Norce</a></strong> Norce Commerce is a composable, headless, SaaS platform for digital commerce, powered by human expertise. We empower companies with advanced needs to accelerate their digital commerce.</p>"
"Azure Integration Services","Adopt","Platforms","False","No Change","<p><strong><a href='https://azure.microsoft.com/en-us/products/category/integration'>Azure Integration Services</a></strong> Azure Integration Services (AIS) is a comprehensive platform provided by Microsoft Azure for performing mission-critical integrations and connecting applications, data, and services across cloud and on-premises environments16. This serverless compute experience drives efficiency and consistency in application connectivity, offering a flexible and scalable solution for various integration scenarios</p>"
"Umbraco Heartcore","Assess","Platforms","True","New","<p><strong><a href='https://umbraco.com/products/umbraco-heartcore/'>Umbraco Heartcore</a></strong> Umbraco Heartcore is Umbracos SaaS based hedless CMS offering</p>"
"Sanity CMS","Assess","Platforms","True","New","<p><strong><a href='https://sanity.io'>Sanity CMS</a></strong> Sanityis a Norwegian headless CMS startup building a cloud first headless CMS based on frontend technologies</p>"
"Netlify","Hold","Platforms","True","New","<p><strong><a href='https://www.netlify.com/'>Netlify</a></strong> Netlify is a hosting platform that instantly build and deploy your sites to their global network from Git. Custom domains, https, deploy previews, rollbacks and much more.</p>"
"Vercel","Hold","Platforms","True","New","<p><strong><a href='https://vercel.com/'>Vercel</a></strong> Vercel provides the developer tools and cloud infrastructure to build, scale, and secure a faster, more personalized web.</p>"
"Commerce Layer","Hold","Platforms","True","New","<p><strong><a href='https://commercelayer.io/'>Commerce Layer</a></strong> Commerce Layer is a headless commerce platform that makes it easy to bring any stock online. You don't even need a website. It only takes a few days to transform your business forever. </p>"
"Headless CMS","Assess","Techniques","True","New","<p><strong><a href='#'>Headless CMS</a></strong> An enabling technology when building content supposed to be incorporated on sites with separate content sources, in environments where content is supposed to be published in multiple channels or for apps that only needs lists of short content snippets</p>"
"API testing","Assess","Techniques","True","Moved In","<p><strong><a href='#'>API testing</a></strong> API testing automates testing Web API's, which in turn enables regression- and smoke-testing as well as monitoring API's with the right tooling setup.</p>"
"Frontend E2E testing","Assess","Techniques","True","Moved In","<p><strong><a href='#'>Frontend E2E testing</a></strong> Frontend E2E testing aids in regression- and smoke-testing websites. </p>"
"Frontend metaframeworks","Hold","Techniques","True","New","<p><strong><a href='#'>Frontend metaframeworks</a></strong> Metaframeworks is used for building pure frontend applications and typically functions as build tools building Static Sites, Server Side Rendered sites, Single Page Applications and Multi Page applications.</p>"
"Headless Commerce","Assess","Techniques","True","New","<p><strong><a href='#'>Headless Commerce</a></strong> An enabling technology for implementing commerce functionality on websites based on CMS's without commerce functionality or on webshops based on headless setups</p>"
"Bruno API Client","Assess","Tools","True","New","<p><strong><a href='https://www.usebruno.com/'>Bruno API Client</a></strong> Is a new'ish API client designed for teams collaborating on Web API's, it supports both REST and GraphQL based apis, and stores request collections as source code in your projects</p>"
"Cypress ","Assess","Tools","False","Moved In","<p><strong><a href='https://www.cypress.io/'>Cypress </a></strong> With Cypress, you can easily create tests for your modern web applications, debug them visually, and automatically run them in your continuous integration builds. </p>"
